relation_id,n_rows,relation,n_updates,n_updated_pairs,n_recurring_pairs,mean_updates_per_pair,max_updates_per_pair,update_share,recurrence
P9139,39,first family name in Portuguese name,0,0,0,0.0,0,0.0,0.0
P1427,38,start point,7,7,0,1.0,1,0.18421052631578946,0.0
P1398,38,structure replaces,1,1,0,1.0,1,0.02631578947368421,0.0
P2408,38,set in period,6,5,1,1.2,2,0.15789473684210525,0.2
P185,38,doctoral student,11,11,0,1.0,1,0.2894736842105263,0.0
P201,38,lake outflow,0,0,0,0.0,0,0.0,0.0
P941,38,inspired by,1,1,0,1.0,1,0.02631578947368421,0.0
P930,38,type of electrification,7,7,0,1.0,1,0.18421052631578946,0.0
P200,37,inflows,9,9,0,1.0,1,0.24324324324324326,0.0
P4647,37,location of first performance,5,4,1,1.25,2,0.13513513513513514,0.25
P412,37,voice type,12,12,0,1.0,1,0.32432432432432434,0.0
P301,36,category's main topic,4,3,1,1.3333333333333333,2,0.1111111111111111,0.3333333333333333
P5800,36,narrative role,3,3,0,1.0,1,0.08333333333333333,0.0
P6962,35,narrative motif,28,28,0,1.0,1,0.8,0.0
P4688,35,geomorphological unit,0,0,0,0.0,0,0.0,0.0
P566,35,basionym,3,3,0,1.0,1,0.08571428571428572,0.0
P6885,35,historical region,1,1,0,1.0,1,0.02857142857142857,0.0
P833,35,interchange station,3,3,0,1.0,1,0.08571428571428572,0.0
P7153,34,significant place,1,1,0,1.0,1,0.029411764705882353,0.0
P629,34,edition or translation of,0,0,0,0.0,0,0.0,0.0
P167,34,structure replaced by,1,1,0,1.0,1,0.029411764705882353,0.0
P122,34,basic form of government,1,1,0,1.0,1,0.029411764705882353,0.0
P1642,34,acquisition transaction,0,0,0,0.0,0,0.0,0.0
P4884,34,court,0,0,0,0.0,0,0.0,0.0
P5588,34,invasive to,0,0,0,0.0,0,0.0,0.0
P3833,33,diaspora,0,0,0,0.0,0,0.0,0.0
P3301,33,broadcast by,1,1,0,1.0,1,0.030303030303030304,0.0
P2846,33,wheelchair accessibility,0,0,0,0.0,0,0.0,0.0
P5995,33,kit supplier,1,1,0,1.0,1,0.030303030303030304,0.0
P9813,33,container,0,0,0,0.0,0,0.0,0.0
P1885,33,cathedral,0,0,0,0.0,0,0.0,0.0
P411,32,canonization status,12,12,0,1.0,1,0.375,0.0
P1444,32,destination point,8,8,0,1.0,1,0.25,0.0
P4900,32,broader concept,1,1,0,1.0,1,0.03125,0.0
P479,31,input method,5,5,0,1.0,1,0.16129032258064516,0.0
P4353,31,nominated by,0,0,0,0.0,0,0.0,0.0
P1672,31,this taxon is source of,5,5,0,1.0,1,0.16129032258064516,0.0
P3610,31,fare zone,0,0,0,0.0,0,0.0,0.0
P3091,30,mount,8,8,0,1.0,1,0.26666666666666666,0.0
P823,30,speaker,0,0,0,0.0,0,0.0,0.0
P520,30,armament,1,1,0,1.0,1,0.03333333333333333,0.0
P194,29,legislative body,0,0,0,0.0,0,0.0,0.0
P1310,29,statement disputed by,2,2,0,1.0,1,0.06896551724137931,0.0
P4330,28,contains,2,2,0,1.0,1,0.07142857142857142,0.0
P2012,28,cuisine,5,3,2,1.6666666666666667,2,0.17857142857142858,0.6666666666666666
P1028,28,donated by,0,0,0,0.0,0,0.0,0.0
P8413,28,academic appointment,0,0,0,0.0,0,0.0,0.0
P1264,28,valid in period,6,6,0,1.0,1,0.21428571428571427,0.0
P3501,28,Christian liturgical rite,2,2,0,1.0,1,0.07142857142857142,0.0
P1716,28,brand,3,3,0,1.0,1,0.10714285714285714,0.0
P59,28,constellation,1,1,0,1.0,1,0.03571428571428571,0.0
P1073,27,writable file format,4,4,0,1.0,1,0.14814814814814814,0.0
P1431,27,executive producer,0,0,0,0.0,0,0.0,0.0
P1419,26,shape,2,2,0,1.0,1,0.07692307692307693,0.0
P8324,26,funder,0,0,0,0.0,0,0.0,0.0
P2922,26,month of the year,1,1,0,1.0,1,0.038461538461538464,0.0
P2652,26,partnership with,0,0,0,0.0,0,0.0,0.0
P736,26,cover art by,0,0,0,0.0,0,0.0,0.0
P6758,26,supported sports team,2,1,1,2.0,2,0.07692307692307693,1.0
P38,25,currency,1,1,0,1.0,1,0.04,0.0
P634,25,captain,7,7,0,1.0,1,0.28,0.0
P3448,25,stepparent,0,0,0,0.0,0,0.0,0.0
P542,25,officially opened by,2,2,0,1.0,1,0.08,0.0
P6569,25,taxon especially protected in area,0,0,0,0.0,0,0.0,0.0
P8004,25,ordered by,0,0,0,0.0,0,0.0,0.0
P1995,24,health specialty,6,6,0,1.0,1,0.25,0.0
P3989,24,members have occupation,1,1,0,1.0,1,0.041666666666666664,0.0
P5138,24,season of club or team,4,4,0,1.0,1,0.16666666666666666,0.0
P2438,24,narrator,1,1,0,1.0,1,0.041666666666666664,0.0
P8006,23,footedness,0,0,0,0.0,0,0.0,0.0
P2925,23,domain of saint or deity,1,1,0,1.0,1,0.043478260869565216,0.0
P870,23,instrumentation,0,0,0,0.0,0,0.0,0.0
P881,23,type of variable star,6,6,0,1.0,1,0.2608695652173913,0.0
P3931,22,copyright holder,1,1,0,1.0,1,0.045454545454545456,0.0
P853,22,CERO rating,0,0,0,0.0,0,0.0,0.0
P2978,22,wheel arrangement,1,1,0,1.0,1,0.045454545454545456,0.0
P8875,22,indexed in bibliographic review,0,0,0,0.0,0,0.0,0.0
P5054,22,cabinet,0,0,0,0.0,0,0.0,0.0
P417,22,patron saint,3,3,0,1.0,1,0.13636363636363635,0.0
P457,21,foundational text,0,0,0,0.0,0,0.0,0.0
P1011,21,excluding,0,0,0,0.0,0,0.0,0.0
P5025,21,gens,3,3,0,1.0,1,0.14285714285714285,0.0
P1891,21,signatory,2,2,0,1.0,1,0.09523809523809523,0.0
P4312,21,camera setup,0,0,0,0.0,0,0.0,0.0
P6803,21,taxon found at location,0,0,0,0.0,0,0.0,0.0
P914,21,USK rating,0,0,0,0.0,0,0.0,0.0
P2578,21,studies,2,2,0,1.0,1,0.09523809523809523,0.0
P7936,20,business model,1,1,0,1.0,1,0.05,0.0
P548,20,version type,1,1,0,1.0,1,0.05,0.0
P2827,20,flower color,0,0,0,0.0,0,0.0,0.0
P631,20,structural engineer,1,1,0,1.0,1,0.05,0.0
P3648,20,NatureServe conservation status,0,0,0,0.0,0,0.0,0.0
P3174,20,art director,0,0,0,0.0,0,0.0,0.0
P6978,19,Scandinavian middle family name,1,1,0,1.0,1,0.05263157894736842,0.0
P720,19,asteroid spectral type,0,0,0,0.0,0,0.0,0.0
P5307,19,display technology,0,0,0,0.0,0,0.0,0.0
P205,19,basin country,3,3,0,1.0,1,0.15789473684210525,0.0
P3730,19,next higher rank,1,1,0,1.0,1,0.05263157894736842,0.0
P1075,18,rector,10,10,0,1.0,1,0.5555555555555556,0.0
P3150,18,birthday,2,1,1,2.0,2,0.1111111111111111,1.0
P3438,18,vehicle normally used,6,6,0,1.0,1,0.3333333333333333,0.0
P9929,18,madhhab,0,0,0,0.0,0,0.0,0.0
P189,18,location of discovery,4,4,0,1.0,1,0.2222222222222222,0.0
P5201,18,IMDA rating,0,0,0,0.0,0,0.0,0.0
P647,18,drafted by,2,2,0,1.0,1,0.1111111111111111,0.0
P453,18,character role,2,2,0,1.0,1,0.1111111111111111,0.0
P5389,17,permanent resident of,0,0,0,0.0,0,0.0,0.0
P4743,17,animal breed,1,1,0,1.0,1,0.058823529411764705,0.0
P1034,17,main food source,0,0,0,0.0,0,0.0,0.0
P943,17,programmer,0,0,0,0.0,0,0.0,0.0
P469,17,lakes on river,6,6,0,1.0,1,0.35294117647058826,0.0
P5869,17,model item,1,1,0,1.0,1,0.058823529411764705,0.0
P9071,17,character type,0,0,0,0.0,0,0.0,0.0
P1016,17,asteroid taxonomy,0,0,0,0.0,0,0.0,0.0
P1465,17,category for people who died here,1,1,0,1.0,1,0.058823529411764705,0.0
P8670,17,character designer,1,1,0,1.0,1,0.058823529411764705,0.0
P1464,17,category for people born here,0,0,0,0.0,0,0.0,0.0
P1478,17,has immediate cause,1,1,0,1.0,1,0.058823529411764705,0.0
P1046,16,discovery method,0,0,0,0.0,0,0.0,0.0
P814,16,IUCN protected areas category,1,1,0,1.0,1,0.0625,0.0
P3300,16,musical conductor,0,0,0,0.0,0,0.0,0.0
P2184,15,history of topic,0,0,0,0.0,0,0.0,0.0
P3075,15,official religion,1,1,0,1.0,1,0.06666666666666667,0.0
P277,15,programming language,4,4,0,1.0,1,0.26666666666666666,0.0
P609,15,terminus location,0,0,0,0.0,0,0.0,0.0
P3729,15,next lower rank,0,0,0,0.0,0,0.0,0.0
P531,15,diplomatic mission sent,0,0,0,0.0,0,0.0,0.0
P533,15,target,0,0,0,0.0,0,0.0,0.0
P2433,15,gender of a scientific name of a genus,0,0,0,0.0,0,0.0,0.0
P3912,15,newspaper format,1,1,0,1.0,1,0.06666666666666667,0.0
P406,15,soundtrack release,0,0,0,0.0,0,0.0,0.0
P741,14,playing hand,0,0,0,0.0,0,0.0,0.0
P3306,14,ICAA rating,0,0,0,0.0,0,0.0,0.0
P579,14,IMA status and/or rank,1,1,0,1.0,1,0.07142857142857142,0.0
P1598,14,consecrator,5,5,0,1.0,1,0.35714285714285715,0.0
P263,14,official residence,1,1,0,1.0,1,0.07142857142857142,0.0
P2959,13,permanent duplicated item,0,0,0,0.0,0,0.0,0.0
P880,13,CPU,2,2,0,1.0,1,0.15384615384615385,0.0
P3274,13,content deliverer,0,0,0,0.0,0,0.0,0.0
P8786,13,dedicated heritage entity,0,0,0,0.0,0,0.0,0.0
P3022,13,flag bearer,3,3,0,1.0,1,0.23076923076923078,0.0
P927,13,anatomical location,1,1,0,1.0,1,0.07692307692307693,0.0
P942,13,theme music,0,0,0,0.0,0,0.0,0.0
P4661,13,reservoir created,0,0,0,0.0,0,0.0,0.0
P6887,12,match interval,0,0,0,0.0,0,0.0,0.0
P6291,12,advertises,0,0,0,0.0,0,0.0,0.0
P697,12,ex taxon author,0,0,0,0.0,0,0.0,0.0
P415,12,radio format,1,1,0,1.0,1,0.08333333333333333,0.0
P5249,12,sports competition competed at,0,0,0,0.0,0,0.0,0.0
P1479,12,has contributing factor,1,1,0,1.0,1,0.08333333333333333,0.0
P726,12,candidate,2,2,0,1.0,1,0.16666666666666666,0.0
P7469,12,orientation,0,0,0,0.0,0,0.0,0.0
P1283,12,filmography,0,0,0,0.0,0,0.0,0.0
P376,12,located on astronomical body,0,0,0,0.0,0,0.0,0.0
P6477,12,does not have quality,1,1,0,1.0,1,0.08333333333333333,0.0
P770,12,cause of destruction,1,1,0,1.0,1,0.08333333333333333,0.0
P3026,12,closed on,0,0,0,0.0,0,0.0,0.0
P8403,12,theorised by,0,0,0,0.0,0,0.0,0.0
P8822,12,epithet,0,0,0,0.0,0,0.0,0.0
P2629,11,BBFC rating,0,0,0,0.0,0,0.0,0.0
P1423,11,template has topic,0,0,0,0.0,0,0.0,0.0
P1576,11,lifestyle,3,3,0,1.0,1,0.2727272727272727,0.0
P78,11,top-level Internet domain,0,0,0,0.0,0,0.0,0.0
P4675,11,appears in the form of,1,1,0,1.0,1,0.09090909090909091,0.0
P5004,11,in opposition to,0,0,0,0.0,0,0.0,0.0
P6224,11,level of description,1,1,0,1.0,1,0.09090909090909091,0.0
P1589,11,lowest point,0,0,0,0.0,0,0.0,0.0
P6022,11,"expression, gesture or body pose",0,0,0,0.0,0,0.0,0.0
P6112,11,category for members of a team,0,0,0,0.0,0,0.0,0.0
P1792,11,category of associated people,0,0,0,0.0,0,0.0,0.0
P6364,11,official color(s),0,0,0,0.0,0,0.0,0.0
P9237,10,reissue of,0,0,0,0.0,0,0.0,0.0
P1079,10,launch contractor,2,2,0,1.0,1,0.2,0.0
P4805,10,make-up artist,0,0,0,0.0,0,0.0,0.0
P1557,10,manifestation of,0,0,0,0.0,0,0.0,0.0
P1981,10,FSK film rating,2,2,0,1.0,1,0.2,0.0
P5564,10,registration district,0,0,0,0.0,0,0.0,0.0
P3828,10,wears,1,1,0,1.0,1,0.1,0.0
P3320,10,board member,3,3,0,1.0,1,0.3,0.0
P358,10,discography,1,1,0,1.0,1,0.1,0.0
P375,10,space launch vehicle,7,7,0,1.0,1,0.7,0.0
P872,10,printed by,0,0,0,0.0,0,0.0,0.0
P87,10,librettist,0,0,0,0.0,0,0.0,0.0
P8927,10,kunya,0,0,0,0.0,0,0.0,0.0
P2551,10,used metre,0,0,0,0.0,0,0.0,0.0
P8032,10,victim,1,1,0,1.0,1,0.1,0.0
P4000,10,has fruit type,2,2,0,1.0,1,0.2,0.0
P795,10,located on linear feature,0,0,0,0.0,0,0.0,0.0
P2935,9,connector,0,0,0,0.0,0,0.0,0.0
P7163,9,typically sells,0,0,0,0.0,0,0.0,0.0
P9028,9,Consejo de Calificación Cinematográfica rating category,0,0,0,0.0,0,0.0,0.0
P2700,9,protocol,0,0,0,0.0,0,0.0,0.0
P9901,9,issuing agent of work,0,0,0,0.0,0,0.0,0.0
P111,9,measured physical quantity,2,2,0,1.0,1,0.2222222222222222,0.0
P6942,9,animator,1,1,0,1.0,1,0.1111111111111111,0.0
P3975,9,secretary general,1,1,0,1.0,1,0.1111111111111111,0.0
P1594,9,judge,1,1,0,1.0,1,0.1111111111111111,0.0
P6118,9,season ends,0,0,0,0.0,0,0.0,0.0
P556,9,crystal system,2,2,0,1.0,1,0.2222222222222222,0.0
P553,9,website account on,0,0,0,0.0,0,0.0,0.0
P5475,9,CJKV variant character,0,0,0,0.0,0,0.0,0.0
P5185,9,grammatical gender,0,0,0,0.0,0,0.0,0.0
P2061,9,aspect ratio (W:H),0,0,0,0.0,0,0.0,0.0
P199,9,business division,0,0,0,0.0,0,0.0,0.0
P9600,9,oral history at,0,0,0,0.0,0,0.0,0.0
P4794,8,season starts,1,1,0,1.0,1,0.125,0.0
P504,8,home port,1,1,0,1.0,1,0.125,0.0
P3173,8,offers view on,0,0,0,0.0,0,0.0,0.0
P8839,8,hairstyle,0,0,0,0.0,0,0.0,0.0
P1652,8,referee,0,0,0,0.0,0,0.0,0.0
P1774,8,workshop of,0,0,0,0.0,0,0.0,0.0
P423,8,shooting handedness,0,0,0,0.0,0,0.0,0.0
P1582,8,natural product of taxon,1,1,0,1.0,1,0.125,0.0
P4151,8,game mechanics,1,1,0,1.0,1,0.125,0.0
P9192,8,sensors,1,1,0,1.0,1,0.125,0.0
P2882,8,relegated,0,0,0,0.0,0,0.0,0.0
P1639,8,pendant of,1,1,0,1.0,1,0.125,0.0
P1625,8,has melody,0,0,0,0.0,0,0.0,0.0
P163,8,flag,4,4,0,1.0,1,0.5,0.0
P6338,8,colorist,1,1,0,1.0,1,0.125,0.0
P931,8,place served by transport hub,1,1,0,1.0,1,0.125,0.0
P2175,8,medical condition treated,0,0,0,0.0,0,0.0,0.0
P1809,7,choreographer,0,0,0,0.0,0,0.0,0.0
P7573,7,IFCO rating,0,0,0,0.0,0,0.0,0.0
P811,7,academic minor,0,0,0,0.0,0,0.0,0.0
P991,7,successful candidate,2,2,0,1.0,1,0.2857142857142857,0.0
P2353,7,statistical unit,0,0,0,0.0,0,0.0,0.0
P1595,7,charge,0,0,0,0.0,0,0.0,0.0
P678,7,incertae sedis,0,0,0,0.0,0,0.0,0.0
P6855,7,emergency services,0,0,0,0.0,0,0.0,0.0
P5237,7,pronunciation variety,0,0,0,0.0,0,0.0,0.0
P2567,7,amended by,1,1,0,1.0,1,0.14285714285714285,0.0
P6086,7,dramaturge,0,0,0,0.0,0,0.0,0.0
P974,7,tributary,3,3,0,1.0,1,0.42857142857142855,0.0
P598,7,commander of (DEPRECATED),1,1,0,1.0,1,0.14285714285714285,0.0
P4345,7,director of archaeological fieldwork,0,0,0,0.0,0,0.0,0.0
P5460,7,grants,0,0,0,0.0,0,0.0,0.0
P4185,7,iconographic symbol,0,0,0,0.0,0,0.0,0.0
P2563,7,superhuman feature or ability,0,0,0,0.0,0,0.0,0.0
P2634,7,sitter,0,0,0,0.0,0,0.0,0.0
P3137,7,parent peak,0,0,0,0.0,0,0.0,0.0
P1951,7,investor,0,0,0,0.0,0,0.0,0.0
P4968,7,relevant qualification,0,0,0,0.0,0,0.0,0.0
P3113,7,does not have part,1,1,0,1.0,1,0.14285714285714285,0.0
P4792,6,dam,0,0,0,0.0,0,0.0,0.0
P3148,6,repeals,1,1,0,1.0,1,0.16666666666666666,0.0
P5202,6,adapted by,0,0,0,0.0,0,0.0,0.0
P2553,6,in work,0,0,0,0.0,0,0.0,0.0
P6153,6,research site,0,0,0,0.0,0,0.0,0.0
P5940,6,plot expanded in,0,0,0,0.0,0,0.0,0.0
P3876,6,category for alumni of educational institution,0,0,0,0.0,0,0.0,0.0
P1546,6,motto,0,0,0,0.0,0,0.0,0.0
P5852,6,item inherits value from,0,0,0,0.0,0,0.0,0.0
P7228,6,access restriction status,0,0,0,0.0,0,0.0,0.0
P1455,6,list of works,2,2,0,1.0,1,0.3333333333333333,0.0
P4608,6,scenographer,0,0,0,0.0,0,0.0,0.0
P1389,6,product certification,3,3,0,1.0,1,0.5,0.0
P1414,6,GUI toolkit or framework,1,1,0,1.0,1,0.16666666666666666,0.0
P767,6,contributor to the creative work or subject,0,0,0,0.0,0,0.0,0.0
P2512,6,series spin-off,2,2,0,1.0,1,0.3333333333333333,0.0
P7419,6,gender educated,0,0,0,0.0,0,0.0,0.0
P35,6,head of state,1,1,0,1.0,1,0.16666666666666666,0.0
P1002,6,engine configuration,0,0,0,0.0,0,0.0,0.0
P2291,6,charted in,0,0,0,0.0,0,0.0,0.0
P5052,6,supervisory board member,3,3,0,1.0,1,0.5,0.0
P8798,6,for color scheme,0,0,0,0.0,0,0.0,0.0
P2975,6,host,1,1,0,1.0,1,0.16666666666666666,0.0
P1817,6,addressee,0,0,0,0.0,0,0.0,0.0
P8431,6,course,2,2,0,1.0,1,0.3333333333333333,0.0
P85,6,anthem,1,1,0,1.0,1,0.16666666666666666,0.0
P9059,6,subdivision of this unit,0,0,0,0.0,0,0.0,0.0
P2860,6,cites work,1,1,0,1.0,1,0.16666666666666666,0.0
P2784,6,Mercalli intensity scale,0,0,0,0.0,0,0.0,0.0
P2738,6,disjoint union of,0,0,0,0.0,0,0.0,0.0
P826,6,tonality,0,0,0,0.0,0,0.0,0.0
P515,6,phase of matter,0,0,0,0.0,0,0.0,0.0
P8111,6,recommended unit of measurement,0,0,0,0.0,0,0.0,0.0
P4379,6,youth wing,0,0,0,0.0,0,0.0,0.0
P2238,6,official symbol,0,0,0,0.0,0,0.0,0.0
P2371,6,FAO risk status,1,1,0,1.0,1,0.16666666666666666,0.0
P831,5,parent club,0,0,0,0.0,0,0.0,0.0
P3082,5,destroyed,0,0,0,0.0,0,0.0,0.0
P2597,5,Gram staining,0,0,0,0.0,0,0.0,0.0
P834,5,train depot,2,2,0,1.0,1,0.4,0.0
P3349,5,designed to carry,0,0,0,0.0,0,0.0,0.0
P3259,5,intangible cultural heritage status,2,2,0,1.0,1,0.4,0.0
P8791,5,digitised by,0,0,0,0.0,0,0.0,0.0
P2962,5,title of chess person,1,1,0,1.0,1,0.2,0.0
P9895,5,Mexican video game rating category,0,0,0,0.0,0,0.0,0.0
P1135,5,nomenclatural status,0,0,0,0.0,0,0.0,0.0
P4777,5,has boundary,0,0,0,0.0,0,0.0,0.0
P8500,5,Vietnamese middle name,0,0,0,0.0,0,0.0,0.0
P8702,5,parallel street,2,2,0,1.0,1,0.4,0.0
P208,5,executive body,0,0,0,0.0,0,0.0,0.0
P2737,5,union of,0,0,0,0.0,0,0.0,0.0
P2739,5,typeface/font used,0,0,0,0.0,0,0.0,0.0
P3080,5,game artist,0,0,0,0.0,0,0.0,0.0
P2679,5,author of foreword,0,0,0,0.0,0,0.0,0.0
P2568,5,repealed by,0,0,0,0.0,0,0.0,0.0
P1363,5,points/goal scored by,0,0,0,0.0,0,0.0,0.0
P2517,5,category for recipients of this award,0,0,0,0.0,0,0.0,0.0
P7501,5,audio system,0,0,0,0.0,0,0.0,0.0
P1560,5,given name version for other gender,0,0,0,0.0,0,0.0,0.0
P1568,5,definition domain,0,0,0,0.0,0,0.0,0.0
P1536,5,immediate cause of,0,0,0,0.0,0,0.0,0.0
P7047,5,enemy of,1,1,0,1.0,1,0.2,0.0
P2359,5,Roman nomen gentilicium,1,1,0,1.0,1,0.2,0.0
P2159,5,computes solution to,0,0,0,0.0,0,0.0,0.0
P916,5,GSRR rating,0,0,0,0.0,0,0.0,0.0
P1038,5,relative,0,0,0,0.0,0,0.0,0.0
P2743,4,this zoological name is coordinate with,0,0,0,0.0,0,0.0,0.0
P2894,4,day of week,0,0,0,0.0,0,0.0,0.0
P7075,4,mod of,0,0,0,0.0,0,0.0,0.0
P1029,4,crew member(s),0,0,0,0.0,0,0.0,0.0
P2647,4,source of material,0,0,0,0.0,0,0.0,0.0
P8626,4,opening time,0,0,0,0.0,0,0.0,0.0
P8329,4,principal investigator,0,0,0,0.0,0,0.0,0.0
P6241,4,collection creator,0,0,0,0.0,0,0.0,0.0
P1876,4,vehicle,1,1,0,1.0,1,0.25,0.0
P450,4,astronaut mission,3,3,0,1.0,1,0.75,0.0
P6237,4,real estate developer,0,0,0,0.0,0,0.0,0.0
P6166,4,quotes work,0,0,0,0.0,0,0.0,0.0
P8193,4,hardiness of plant,0,0,0,0.0,0,0.0,0.0
P4428,4,implementation of,2,2,0,1.0,1,0.5,0.0
P5126,4,assistant director,0,0,0,0.0,0,0.0,0.0
P822,4,mascot,1,1,0,1.0,1,0.25,0.0
P7514,4,landscape architect,0,0,0,0.0,0,0.0,0.0
P9681,4,voted on by,0,0,0,0.0,0,0.0,0.0
P2363,4,NMHH film rating,0,0,0,0.0,0,0.0,0.0
P1591,4,defendant,0,0,0,0.0,0,0.0,0.0
P690,4,space group,0,0,0,0.0,0,0.0,0.0
P3803,4,original film format,0,0,0,0.0,0,0.0,0.0
P9488,4,field of usage,0,0,0,0.0,0,0.0,0.0
P1074,4,fictional analog of,1,1,0,1.0,1,0.25,0.0
P9883,4,created for,0,0,0,0.0,0,0.0,0.0
P4967,4,prerequisite,0,0,0,0.0,0,0.0,0.0
P1622,4,driving side,0,0,0,0.0,0,0.0,0.0
P739,4,ammunition,1,1,0,1.0,1,0.25,0.0
P3719,4,regulated by,0,0,0,0.0,0,0.0,0.0
P1620,4,plaintiff,0,0,0,0.0,0,0.0,0.0
P5278,4,gender inflection of surname,0,0,0,0.0,0,0.0,0.0
P1462,4,standards body,0,0,0,0.0,0,0.0,0.0
P2851,3,payment types accepted,1,1,0,1.0,1,0.3333333333333333,0.0
P3027,3,open period from,0,0,0,0.0,0,0.0,0.0
P1437,3,plea,0,0,0,0.0,0,0.0,0.0
P1429,3,has pet,0,0,0,0.0,0,0.0,0.0
P1354,3,shown with features,0,0,0,0.0,0,0.0,0.0
P2358,3,Roman praenomen,1,1,0,1.0,1,0.3333333333333333,0.0
P1853,3,blood type,1,1,0,1.0,1,0.3333333333333333,0.0
P3294,3,encoding,0,0,0,0.0,0,0.0,0.0
P1840,3,investigated by,0,0,0,0.0,0,0.0,0.0
P9549,3,official podcast,0,0,0,0.0,0,0.0,0.0
P5872,3,perfume note,0,0,0,0.0,0,0.0,0.0
P2176,3,drug or therapy used for treatment,1,1,0,1.0,1,0.3333333333333333,0.0
P2293,3,genetic association,1,1,0,1.0,1,0.3333333333333333,0.0
P8546,3,recording location,0,0,0,0.0,0,0.0,0.0
P5009,3,complies with,0,0,0,0.0,0,0.0,0.0
P468,3,dan/kyu rank,0,0,0,0.0,0,0.0,0.0
P3028,3,open period to,0,0,0,0.0,0,0.0,0.0
P8363,3,study type,0,0,0,0.0,0,0.0,0.0
P2308,3,class,0,0,0,0.0,0,0.0,0.0
P2384,3,statement describes,1,1,0,1.0,1,0.3333333333333333,0.0
P3512,3,means of locomotion,0,0,0,0.0,0,0.0,0.0
P7479,3,key col,0,0,0,0.0,0,0.0,0.0
P4043,3,emulates,0,0,0,0.0,0,0.0,0.0
P1881,3,list of characters,0,0,0,0.0,0,0.0,0.0
P1443,3,score method,0,0,0,0.0,0,0.0,0.0
P4082,3,captured with,0,0,0,0.0,0,0.0,0.0
P7095,3,end grade,0,0,0,0.0,0,0.0,0.0
P1656,3,unveiled by,0,0,0,0.0,0,0.0,0.0
P7084,3,related category,0,0,0,0.0,0,0.0,0.0
P1753,3,list related to category,0,0,0,0.0,0,0.0,0.0
P1547,3,depends on software,0,0,0,0.0,0,0.0,0.0
P689,3,afflicts,0,0,0,0.0,0,0.0,0.0
P9419,3,personal library at,0,0,0,0.0,0,0.0,0.0
P2821,3,by-product,0,0,0,0.0,0,0.0,0.0
P9745,2,translation of,0,0,0,0.0,0,0.0,0.0
P2828,2,corporate officer,0,0,0,0.0,0,0.0,0.0
P923,2,medical examinations,0,0,0,0.0,0,0.0,0.0
P1068,2,instruction set,0,0,0,0.0,0,0.0,0.0
P9191,2,letterer,0,0,0,0.0,0,0.0,0.0
P4323,2,young rider classification,0,0,0,0.0,0,0.0,0.0
P1574,2,exemplar of,0,0,0,0.0,0,0.0,0.0
P3460,2,colonel-in-chief,0,0,0,0.0,0,0.0,0.0
P9888,2,NZTCS conservation status,0,0,0,0.0,0,0.0,0.0
P4878,2,symbolizes,0,0,0,0.0,0,0.0,0.0
P1158,2,location of landing,0,0,0,0.0,0,0.0,0.0
P1165,2,home world,1,1,0,1.0,1,0.5,0.0
P6902,2,era name,0,0,0,0.0,0,0.0,0.0
P694,2,replaced synonym (for nom. nov.),0,0,0,0.0,0,0.0,0.0
P7045,2,chassis,0,0,0,0.0,0,0.0,0.0
P1571,2,codomain,0,0,0,0.0,0,0.0,0.0
P5422,2,has pattern,0,0,0,0.0,0,0.0,0.0
P4149,2,conjugate base,0,0,0,0.0,0,0.0,0.0
P1750,2,name day,1,1,0,1.0,1,0.5,0.0
P3967,2,final event,0,0,0,0.0,0,0.0,0.0
P3823,2,Ethnologue language status,0,0,0,0.0,0,0.0,0.0
P4290,2,official app,0,0,0,0.0,0,0.0,0.0
P3781,2,has active ingredient,0,0,0,0.0,0,0.0,0.0
P3818,2,KMRB film rating,0,0,0,0.0,0,0.0,0.0
P3764,2,pole position,0,0,0,0.0,0,0.0,0.0
P7174,2,school class,0,0,0,0.0,0,0.0,0.0
P9969,2,catalogue raisonné,1,1,0,1.0,1,0.5,0.0
P1026,2,academic thesis,0,0,0,0.0,0,0.0,0.0
P8938,2,artistic director,0,0,0,0.0,0,0.0,0.0
P5059,2,modified version of,0,0,0,0.0,0,0.0,0.0
P1999,2,UNESCO language status,0,0,0,0.0,0,0.0,0.0
P2058,2,depositary,0,0,0,0.0,0,0.0,0.0
P470,2,Eight Banner register,1,1,0,1.0,1,0.5,0.0
P500,2,exclave of,0,0,0,0.0,0,0.0,0.0
P1290,2,godparent,0,0,0,0.0,0,0.0,0.0
P2614,2,World Heritage criteria,0,0,0,0.0,0,0.0,0.0
P8402,2,open data portal,0,0,0,0.0,0,0.0,0.0
P517,2,interaction,0,0,0,0.0,0,0.0,0.0
P3094,2,develops from,0,0,0,0.0,0,0.0,0.0
P8258,2,field of training,1,1,0,1.0,1,0.5,0.0
P8225,2,is metaclass for,0,0,0,0.0,0,0.0,0.0
P1202,2,carries scientific instrument,0,0,0,0.0,0,0.0,0.0
P5012,2,special rank,0,0,0,0.0,0,0.0,0.0
P8371,2,"references work, tradition or theory",0,0,0,0.0,0,0.0,0.0
P789,2,edibility,0,0,0,0.0,0,0.0,0.0
P6149,2,running mate,0,0,0,0.0,0,0.0,0.0
P6439,2,has lyrics,0,0,0,0.0,0,0.0,0.0
P6568,2,inscription mentions,1,1,0,1.0,1,0.5,0.0
P1593,2,defender,0,0,0,0.0,0,0.0,0.0
P8196,2,voting system,0,0,0,0.0,0,0.0,0.0
P612,2,mother house,1,1,0,1.0,1,0.5,0.0
